City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,thunder bay,48.4001,-89.3168,5.58,50,100,6.84,CA,1713561383
195,yuzhno-kurilsk,44.0306,145.8556,2.43,97,100,13.26,RU,1713561383
196,sanchazi,42.0817,126.6003,7.58,51,100,1.7,CN,1713561383
197,georgetown,5.4112,100.3354,27.96,89,20,1.03,MY,1713561383
198,vilyuchinsk,52.9306,158.4028,3.15,93,50,0.43,RU,1713561384
199,howrah,22.5892,88.3103,31.0,74,20,4.12,IN,1713561384
200,barra de sao francisco,-18.755,-40.8908,22.1,83,100,0.4,BR,1713561384
201,kondagaon,19.6,81.6667,27.52,36,39,2.41,IN,1713561385
202,san sebastian de la gomera,28.0916,-17.1133,22.2,52,0,5.14,ES,1713561385
203,ust-tsilma,65.441,52.1498,-9.66,93,100,3.13,RU,1713561385
204,fortuna,40.5982,-124.1573,19.96,62,40,6.69,US,1713561031
205,amga,60.8953,131.9608,-3.18,98,92,1.32,RU,1713561386
206,tolanaro,-25.0319,46.9987,22.12,89,69,4.73,MG,1713561386
207,antalaha,-14.9003,50.2788,24.02,92,99,2.47,MG,1713561386
208,antsiranana,-12.2787,49.2917,26.3,75,44,5.87,MG,1713561386
209,badiyah,22.45,58.8,25.36,52,100,4.79,OM,1713561387
210,selkirk,50.1436,-96.8845,0.58,76,100,5.36,CA,1713561387
211,acarau,-2.8856,-40.12,26.94,84,100,2.96,BR,1713561387
212,badger,64.8,-147.5333,12.93,21,0,1.54,US,1713561387
213,albertville,34.2676,-86.2089,25.97,84,75,0.0,US,1713561291
214,romodanovo,54.4275,45.3296,12.27,61,5,5.38,RU,1713561388
215,sisimiut,66.9395,-53.6735,-4.15,80,100,2.73,GL,1713561388
216,myshkin,57.7897,38.4545,3.94,93,94,9.2,RU,1713561388
217,stanley,54.868,-1.6985,3.99,72,0,3.6,GB,1713561389
218,hadibu,12.65,54.0333,27.95,81,59,3.88,YE,1713561389
219,sabzevar,36.2126,57.6819,18.46,22,1,1.44,IR,1713561389
220,swakopmund,-22.6833,14.5333,15.47,80,10,1.7,NA,1713561390
221,punta arenas,-53.15,-70.9167,5.06,56,75,10.29,CL,1713561390
222,smithers,54.7804,-127.1743,10.61,32,100,3.09,CA,1713561390
223,cockburn town,21.4612,-71.1419,24.57,69,11,6.46,TC,1713561390
224,port saint john's,-31.6229,29.5448,21.06,92,6,1.6,ZA,1713561391
225,inirida,3.8653,-67.9239,27.47,76,100,1.52,CO,1713561391
226,kangding,30.0513,101.9603,8.92,100,100,2.11,CN,1713561391
227,pyay,18.8167,95.2167,26.78,72,8,1.64,MM,1713561391
228,tinajo,29.0788,-13.7081,19.49,73,20,5.14,ES,1713561392
229,brezina,33.0989,1.2608,18.97,26,95,5.63,DZ,1713561392
230,anloga,5.7947,0.8973,29.09,83,99,6.19,GH,1713561392
231,la ronge,55.1001,-105.2842,2.57,78,44,3.45,CA,1713561392
232,waterford,42.7023,-83.4027,14.49,37,40,9.77,US,1713561393
233,vorgashor,67.5833,63.95,-22.33,91,11,3.43,RU,1713561393
234,arraial do cabo,-22.9661,-42.0278,22.92,83,40,4.63,BR,1713561393
235,walvis bay,-22.9575,14.5053,15.53,88,1,2.06,NA,1713561393
236,altai,46.3722,96.2583,4.04,47,76,3.8,MN,1713561394
237,whittlesea,-32.1759,26.8244,17.35,58,5,1.93,ZA,1713561394
238,kavieng,-2.5744,150.7967,28.62,73,100,3.82,PG,1713561394
239,saudarkrokur,65.7461,-19.6394,1.98,95,100,7.13,IS,1713561394
240,maamba,-17.3667,27.15,22.11,58,13,1.81,ZM,1713561395
241,al jawf,29.5,38.75,24.14,24,0,4.07,SA,1713561395
242,jingdezhen,29.2947,117.2079,19.45,96,100,0.84,CN,1713561395
243,dolores,-36.3132,-57.6792,19.33,77,68,4.27,AR,1713561396
244,nanao,37.05,136.9667,10.15,77,62,0.67,JP,1713561396
245,ta`u,-14.2336,-169.5144,28.68,78,61,6.22,AS,1713561396
246,las veredas,23.1388,-109.7075,35.63,27,0,7.72,MX,1713561396
247,plettenberg bay,-34.0527,23.3716,18.04,85,18,0.66,ZA,1713561397
248,yanbu,24.0891,38.0637,26.02,73,0,1.03,SA,1713561397
249,kenora,49.8167,-94.4337,-0.68,86,100,4.02,CA,1713561397
250,chonchi,-42.6128,-73.8092,11.73,78,75,1.81,CL,1713561398
251,shasta lake,40.6804,-122.3708,27.82,34,8,2.34,US,1713561398
252,watsa,3.0372,29.5355,18.81,99,95,1.06,CD,1713561398
253,san jose de guanipa,8.8872,-64.1651,31.67,49,100,1.4,VE,1713561398
254,polyarnyy,69.1989,33.4478,-13.81,90,22,3.27,RU,1713561399
255,tabas,33.5959,56.9244,21.17,21,0,0.82,IR,1713561399
256,minas de marcona,-15.2119,-75.1103,20.29,62,55,4.87,PE,1713561399
257,krasnyy chikoy,50.3643,108.7512,-1.32,91,43,1.19,RU,1713561399
258,paita,-5.0892,-81.1144,23.58,73,62,6.48,PE,1713561400
259,papao,-17.75,-149.55,30.82,78,26,8.23,PF,1713561400
260,newman,37.3138,-121.0208,26.24,53,2,3.13,US,1713561400
261,woodward,36.4337,-99.3904,17.57,29,0,2.57,US,1713561400
262,graaff-reinet,-32.2522,24.5308,23.23,38,9,3.37,ZA,1713561401
263,beyneu,45.3167,55.2,21.08,39,9,4.88,KZ,1713561401
264,toamasina,-18.1667,49.3833,22.52,86,100,2.6,MG,1713561401
265,la gi,10.6667,107.7833,26.88,83,43,2.61,VN,1713561401
266,nadi,-17.8,177.4167,29.0,70,75,1.03,FJ,1713561360
267,runaway bay,18.4596,-77.3357,27.43,68,39,6.26,JM,1713561402
268,tateyama,34.9833,139.8667,17.74,79,100,1.46,JP,1713561403
269,enoch,37.7733,-113.0244,20.26,29,0,2.06,US,1713561403
270,humaita,-7.5061,-63.0208,27.94,92,57,0.78,BR,1713561404
271,jayapura,-2.5333,140.7,25.66,96,100,1.85,ID,1713561404
272,fort st. john,56.2499,-120.8529,7.01,24,0,3.11,CA,1713561404
273,meulaboh,4.1363,96.1285,25.52,90,100,0.91,ID,1713561404
274,uyovu,-3.2833,31.5258,18.4,97,100,1.71,TZ,1713561405
275,port lincoln,-34.7333,135.8667,13.92,72,61,4.43,AU,1713561405
276,port macquarie,-31.4333,152.9167,15.5,86,100,4.74,AU,1713561119
277,coquimbo,-29.9533,-71.3436,16.5,79,7,2.01,CL,1713561405
278,medeiros neto,-17.3739,-40.2206,23.72,75,100,1.66,BR,1713561406
279,mopti,14.6667,-4.0,34.16,7,55,3.88,ML,1713561406
280,amos,48.5669,-78.1162,5.29,92,100,3.73,CA,1713561406
281,galliano,29.4422,-90.2992,30.0,65,40,4.63,US,1713561406
282,tondano,1.3038,124.9112,20.05,95,98,0.65,ID,1713561407
283,am timan,11.0297,20.2827,33.2,23,100,2.91,TD,1713561407
284,enriquillo,17.9,-71.2333,29.82,79,64,2.31,DO,1713561407
285,buedu,8.2803,-10.3719,27.76,68,95,2.22,SL,1713561408
286,songling,31.1933,120.7176,17.1,94,97,5.13,CN,1713561408
287,puerto tirol,-27.3722,-59.0821,26.0,50,0,4.12,AR,1713561408
288,zabol,32.25,67.25,9.44,70,26,2.69,AF,1713561409
289,hilo,19.7297,-155.09,23.38,91,100,2.06,US,1713561409
290,ixtapa,20.7,-105.2,26.57,50,0,5.66,MX,1713561409
291,al fuwayliq,26.4432,43.2534,25.6,17,0,5.96,SA,1713561410
292,gelinkaya,37.417,41.293,16.89,54,63,1.74,TR,1713561410
293,palmas,-10.2128,-48.3603,27.93,83,40,2.57,BR,1713561410
294,weno,7.4515,151.8468,28.41,81,93,7.68,FM,1713561410
295,belmonte,-15.8631,-38.8828,24.93,88,28,4.86,BR,1713561411
296,flying fish cove,-10.4217,105.6791,26.82,94,100,4.63,CX,1713561411
297,armidale,-30.5167,151.65,7.92,95,87,1.87,AU,1713561411
298,pyhajarvi,67.0701,27.2176,-12.28,95,98,2.43,FI,1713561411
299,berezovyy,51.6667,135.7,-0.02,97,100,2.0,RU,1713561412
300,ad darbasiyah,37.0728,40.652,17.63,54,17,2.66,SY,1713561412
301,mangrol,21.1167,70.1167,26.2,72,7,7.05,IN,1713561412
302,gadzhiyevo,69.2551,33.3362,-13.72,92,28,3.29,RU,1713561412
303,belgrade,44.804,20.4651,6.9,74,0,2.06,RS,1713561346
304,benton,36.3334,-94.3335,19.35,39,0,4.63,US,1713561413
305,bac lieu,9.285,105.7244,27.55,71,69,3.15,VN,1713561413
306,sitka,57.0531,-135.33,17.94,20,0,7.2,US,1713561413
307,boende,-0.2167,20.8667,22.74,90,56,1.17,CD,1713561414
308,itaueira,-7.6033,-43.0256,29.13,58,100,1.75,BR,1713561414
309,kodiak,57.79,-152.4072,3.73,93,100,11.32,US,1713561414
310,hamilton,39.1834,-84.5333,18.44,47,0,6.17,US,1713561415
311,umm kaddadah,13.6017,26.6876,30.28,11,98,5.14,SD,1713561415
312,tan-tan,28.438,-11.1032,17.31,83,36,4.47,MA,1713561415
313,yoloten,37.2989,62.3597,20.92,31,96,2.87,TM,1713561415
314,kendari,-3.945,122.4989,24.29,96,75,1.23,ID,1713561416
315,griffith,41.5284,-87.4237,14.52,38,0,10.29,US,1713561416
316,heinola,61.2056,26.0381,-4.44,92,100,4.36,FI,1713561416
317,rio preto da eva,-2.6994,-59.6997,28.03,88,68,1.2,BR,1713561417
318,mirny,62.5353,113.9611,-3.76,96,100,2.68,RU,1713561417
319,inhapi,-9.2214,-37.7486,24.69,72,90,1.94,BR,1713561417
320,ust'-ilimsk,58.0006,102.6619,2.47,93,100,1.34,RU,1713561417
321,pine ridge,28.9383,-82.4734,33.32,63,0,4.63,US,1713561418
322,tejen,37.3834,60.5054,20.98,28,26,4.25,TM,1713561418
323,puerto el triunfo,13.2833,-88.55,30.25,64,86,4.18,SV,1713561418
324,enewetak,11.3474,162.3373,27.52,84,69,8.46,MH,1713561419
325,carloforte,39.145,8.3058,12.53,65,0,6.41,IT,1713561419
326,holualoa,19.6228,-155.9522,26.04,81,75,5.14,US,1713561419
327,tadine,-21.55,167.8833,25.71,80,100,3.95,NC,1713561419
328,aykhal,66.0,111.5,-3.53,96,100,2.77,RU,1713561420
329,yarmouth,41.7057,-70.2286,12.58,61,0,4.12,US,1713561420
330,san ignacio de velasco,-16.3667,-60.95,27.49,64,19,1.74,BO,1713561420
331,vizinga,61.0749,50.1031,3.93,98,100,3.35,RU,1713561421
332,keflavik,64.0049,-22.5624,7.24,100,100,9.26,IS,1713561421
333,carauari,-4.8828,-66.8958,26.94,89,100,1.58,BR,1713561421
334,kyaikkami,16.08,97.5675,29.16,73,51,4.62,MM,1713561421
335,san jose del guaviare,2.5729,-72.6459,23.47,99,100,0.11,CO,1713561422
336,laibin,23.7,109.2667,23.75,91,55,2.98,CN,1713561422
337,mount carmel,38.4109,-87.7614,17.66,43,99,5.27,US,1713561422
338,victorica,-36.2151,-65.4359,21.42,42,100,5.47,AR,1713561422
339,lillehammer,61.1146,10.4674,-3.23,89,91,0.99,NO,1713561423
340,melfi,40.9965,15.6514,4.72,87,3,2.91,IT,1713561423
341,khilok,51.3674,110.4676,-2.28,73,6,1.39,RU,1713561423
342,aldan,58.6031,125.3894,-1.12,99,100,0.76,RU,1713561423
343,kayangel,8.0823,134.7173,27.32,86,100,9.01,PW,1713561424
344,greenville,35.6127,-77.3663,28.09,62,40,3.6,US,1713561424
345,puerto deseado,-47.7503,-65.8938,13.94,42,78,7.5,AR,1713561424
346,parintins,-2.6283,-56.7358,28.71,81,100,0.24,BR,1713561424
347,marsabit,2.3284,37.9899,21.36,69,90,6.51,KE,1713561425
348,bonthe,7.5264,-12.505,28.79,82,73,3.88,SL,1713561425
349,lubang,13.8584,120.124,27.87,75,52,7.18,PH,1713561425
350,alice springs,-23.7,133.8833,8.75,76,0,2.06,AU,1713561426
351,san-pedro,4.7485,-6.6363,28.64,83,21,3.13,CI,1713561426
352,bamboo flat,11.7,92.7167,26.82,78,11,1.65,IN,1713561426
353,moranbah,-22.0016,148.0466,21.82,73,100,4.42,AU,1713561426
354,darwin,-12.4611,130.8418,24.99,64,63,4.63,AU,1713560925
355,kutum,14.2,24.6667,27.16,12,92,3.1,SD,1713561427
356,horta,38.5333,-28.6333,16.12,88,100,1.79,PT,1713561427
357,nuuk,64.1835,-51.7216,-3.66,80,75,4.12,GL,1713561427
358,intendente alvear,-35.2338,-63.592,21.71,73,100,3.52,AR,1713561428
359,bontang,0.1333,117.5,26.16,90,94,2.37,ID,1713561428
360,porto velho,-8.7619,-63.9039,31.03,70,75,0.51,BR,1713561428
361,kharkhorin,47.1975,102.8238,8.12,39,61,5.47,MN,1713561428
362,puquio,-14.7,-74.1333,12.69,64,96,4.46,PE,1713561429
